preffix,namespace,comments,date,status-type,Comments,contributor,resolution
dpv,https://w3id.org/dpv#,Data Privacy Vocabulary (DPV),2022-02-09,approved,,,https://www.w3.org/2022/02/09-dpvcg-minutes.html
nace,https://w3id.org/dpv/nace#,NACE vocabulary in RDFS,,approved,,,
eu-gdpr,https://w3id.org/dpv/legal/eu/gdpr#,EU-GDPR concepts extended DPV,,approved,,,
pd,https://w3id.org/dpv/pd#,Personal Data concepts extended DPV,,approved,,,
tech,https://w3id.org/dpv/tech#,Technology concepts extended DPV,,approved,,,
legal,https://w3id.org/dpv/legal#,Legal  concepts extended DPV,,approved,,,
risk,https://w3id.org/dpv/risk#,Risk Management concepts extended DPV,,approved,,,
eu-rights,https://w3id.org/dpv/rights/eu#,EU-Rights concepts extended DPV,,approved,,,
ex,https://w3id.org/dpv/examples#,DPV Examples,,approved,,,
ucr,https://w3id.org/dpv/use-cases#,DPV Use-Cases and Requirements,,approved,,,
eu-dga,https://w3id.org/dpv/legal/eu/dga#,EU-DGA concepts extended DPV,,approved,,,
loc,https://w3id.org/dpv/loc#,Location concepts extended DPV,,approved,,,
dpv-pd,https://w3id.org/dpv/pd#,Personal Data concepts extended DPV,,approved,,,
dpv-gdpr,https://w3id.org/dpv/legal/eu/gdpr#,EU-GDPR concepts extended DPV,,approved,,,
dpv-dga,https://w3id.org/dpv/legal/eu/dga#,EU-DGA concepts extended DPV,,approved,,,
